exp_match_pts_col,ritual_reanimator,topheavy_annihilator,occultation,annihilation,emanation,bird_flock,void_temples,revive
ritual_reanimator,1.4752,1.4078,1.6463,1.2809,1.5710,1.5945,1.9376,1.7152
topheavy_annihilator,1.5627,1.4887,1.6916,1.3003,1.6205,1.5327,1.9759,1.6698
occultation,1.4134,1.3169,1.4701,1.2393,1.4600,1.2386,1.5922,1.4846
annihilation,1.7518,1.6819,1.7894,1.5139,1.7601,1.8050,1.9172,2.0283
emanation,1.4055,1.3798,1.5947,1.2590,1.5123,1.4458,1.8793,1.5992
bird_flock,1.4704,1.4946,1.7876,1.1752,1.5249,1.4791,1.7704,1.5721
void_temples,1.1187,1.0725,1.4730,1.1049,1.1182,1.2334,1.4850,1.2895
revive,1.2701,1.2485,1.5256,1.0119,1.3724,1.4544,1.7620,1.4658
